Name of Institution,Affiliation Number,State,District,locality,Postal Address,Pin Code,Phone Office 1,Phone Office 2,Phone Residence 1,Phone Residence 2,FAX No,Email,Website,Year of Foundation,Date of First Openning of School,Name of Principal/ Head of Institution,Sex,Principal Education/Professional Qualifications,Number of Experience Years,Administrative,Teaching,Status of The School,Type of affiliation,Affiliation Period From,Affiliation Period To,Name of Trust/ Society/ Managing Committee,extra
CHRIST CONVENT SCHOOL PATNA BUJURG REHLI,1030631,MADHYA PRADESH,SAGAR,sagarRehli,christ convent school patna bujurg rehli window no.1 sagar district m.p. 470227,470227,"07585-288356 , 09753631291
                        ,","07585-288356 , 09753631291
                        ,",,,,christpatnabujurg@gmail.com,,2006,7/1/2006 12:00:00 AM,Miss  Sr. jancy francis,,M.A. B.Ed.,,5,15,Secondary School,Provisional,1/4/2013,31/3/2016,Society of sisters of jesus,
st marys public school,930886,KERALA,ERNAKULAM,alwayekaloorkad,"st marys public school,nakapuzha, eranakulam-dist, kerala",686668,"0485-2288200
                        ,","0485-2288200
                        ,",,,,st.maryssps@yahoo.com,,2003,6/2/2003 12:00:00 AM,johnson mathew,,"Msc,B.ed",,5,5,Secondary School,Provisional,1/4/2012,31/3/2015,st marys educational and charitable trust,
"MGM PUblic School, Punnappalam,Kolayad",930939,KERALA,KANNUR,ThalasseryKannavam,"MGM Public School, KOLAYAD.P.O,Pin 670650,
Kannur,Kerala,India",670650,"04902-303895
                        ,","04902-303895
                        ,",,,,mgmpunnappalam2001@gmail.com,,2001,6/8/2012 12:00:00 AM,Mr.P.M Mathew,0,BSc (Che)MA(Eng)BEd,,3,30,Secondary School,Provisional,1/4/2013,31/3/2016,Mlalankara Orthodox Syrian Educational And Charitable Society,
Jim Corbett International School,3530349,UTTARANCHAL,BAGESHWAR,KathgodamBageshwar,Jim Corbett International School. Takula Road. Bageshwar,263642,"05963-221049
                        ,","05963-221049
                        ,",,,05963-221049,jimcorbettschool@yahoo.co.in,,2007,4/2/2007 12:00:00 AM,Mr.Mr Pooran Kapil,0,"M.A., B.Ed.",,5,10,Secondary School,Provisional,1/4/2013,31/3/2016,Jim Corbett School Society,
Bayonet School,1030454,MADHYA PRADESH,INDORE,MhowMhow,"Bayonet School C/O Infantry School, Mhow",453441,"-07324-252873
                        ,","-07324-252873
                        ,",,,,bayonetschool_mhow@rediff.com,,1948,4/1/1948 12:00:00 AM,Sangeeta Shrivastav,0,"MA, B.Ed",,15,5,Secondary School,Provisional,1/4/2012,31/3/2015,Bayonet School Management Committee," Bayonet School Affiliation Code:1030454 The school is affiliated to the CBSE board. (Central Board of Secondary Education) Contact Details(Address, Phone, Fax): Address:Bayonet School C/O Infantry School, Mhow Phone Num: STD Code: PhNo: -07324-252873 , Fax: City: 453441 Email:bayonetschool_mhow@rediff.com, Website: Courses of study offered: This school follows the CBSE curriculum"
Shri Guru Angad Dev Public School,1630733,PUNJAB,SANGRUR,DhuriAmargarh,Shri Guru Angad Dev Public School,148022,"01675285252
                        ,","01675285252
                        ,",,,01675285252,sgad_langrian@yahoo.com,,2008,4/1/2009 12:00:00 AM,Mrs.Bhagwant Kaur,,MA English B.Ed.,,2,12,Secondary School,Provisional,1/4/2012,31/3/2015,Dhindsa Trust Educational Society,
"Sree Narayana Center School,Karuvatta",930808,KERALA,ALAPPUZHA,HaripadHaripad,"Sree Narayana Center School,Karuvatta P.O Alapuzha dist .Kerala",690517,"04792493793
                        ,","04792493793
                        ,",01392-295300,01392-295300,,sncskvta@gmail.com,,2002,6/3/2002 12:00:00 AM,R.Geetha,2,Msc. Bed,,5,5,Secondary School,Provisional,1/4/2013,31/3/2018,Karuvatta south S.N.D.P Branch No :204 Development and Welfare Society,
GREENLAND CONVENT SCHOOL,1630659,PUNJAB,LUDHIANA,YESYES,"GREENLAND CONVENT SCHOOL, BISHAN ENCLAVE, CHANDER NAGAR, CIVIL CITY",141011,"0161-2304944
                        ,","0161-2304944
                        ,",,,0161-6450120,glcscc@gmail.com,,2007,4/13/2007 12:00:00 AM,ALKA MAHAJAN,2,"M.A, B.ED",,4,10,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",SANT KIRPAL VIDYAK MISSION (REGD.),
Woodlands Overseas School,1630453,PUNJAB,HOSHIARPUR,HoshiarpurHariana,"Woodlands Overseas School, VPO Sataur,Dasuya Road",146001,"01882-277771
                        ,","01882-277771
                        ,",,,01881- 276971,woschool@gmail.com,http://www.woschool.com,2003,4/4/2004 12:00:00 AM,Simerjeet Kaur,0,"BSc., BEd., MEd.",,2,5,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2018",Overseas Benevolent Educational Society,
Uma Nath Singh Higher Secondary School,2131235,uttar pradesh,JAUNPUR,JafrabadJafrabad,"Uma Nath Singh Higher Secondary School, Sakargunj, Maharupur, Jaunpur",222180,"05452-261815
                        ,","05452-261815
                        ,",,,,nicky1234@yahoo.in,,2007,4/1/2007 12:00:00 AM,Shri Awadhesh Chandra Mishra,0,M.A. B.Ed,,12,12,Senior Secondary,Provisional,1/4/2013,"31/
                    3/
                    2016",late Uma Nath Singh Saishik And Dharamarth Trust,
